zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
North Central,Niger,NI_191,kagarko,<1hr to large city,883fff58-b4dc-4948-bb63-325eeb477808,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2016-02-01,07:00:00.000+01:00,22:00:00.000+01:00,3,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,400000,0,5000,0,32,6,14,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4 5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,23,0,0,3000,5000,1000,3,2,1,720,1 6 3,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,1,4,1,1,1,2,9,3,3000,lighting and phone charging,a solar microgrid,a group of local townspeople,3,12,66000,lighting and phone charging,a diesel generator,a group of local townspeople,3,6,66000,lighting and phone charging,a solar home system,a group of local townspeople,12,3,66000,any appliances,a solar home system,a group of local townspeople,a,2,b,2,6000,grid supply,NA,1,9000,0,6000,NA,6000,Showing NI 191 on the polygon.,yes,0.0967626362965867
North Central,Niger,NI_191,kagarko,<1hr to large city,b6704796-8332-4552-80a1-e4b707b40d33,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2018-02-01,08:00:00.000+01:00,19:00:00.000+01:00,3,4,6,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,11 12 4,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,35000,0,8000,1,43,7,14,3,NA,3,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,2,7,21,0,0,3000,6000,1500,2,2,1,200,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,4,2,3,4,1,3,12,66000,any appliances,a solar home system,the state electricity company,6,9,33000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,9,12,100000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,9,3,66000,any appliances,a solar microgrid,the state electricity company,b,1,b,1,100000,off-grid supply,NA,0,66000,0,33000,0,20000,Polygon showing NI 191,yes,0.0967626362965867
North Central,Niger,NI_191,kagarko,<1hr to large city,ded19635-82d6-4fbe-a19c-cc3d71d8ce39,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2021-02-01,07:30:00.000+01:00,21:00:00.000+01:00,3,4,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120000,0,15000,1,46,5,21,5,NA,1,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,22,0,0,3000,5000,2000,2,2,1,500,1,1,0,0,0,0,0,2 96,0,1,0,0,0,0,0,0,0,0,0,0,1,Stabilizer,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,4,2,2,3,4,3,6,3000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,3,12,33000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,3,100000,any appliances,a diesel generator,the state electricity company,6,6,66000,any appliances,a solar home system,a group of local townspeople,a,1,b,1,3000,grid supply,that can power all appliances,1,6000,0,3000,NA,3000,Showing polygon NI 191,yes,0.0967626362965867
North Central,Niger,NI_191,kagarko,<1hr to large city,f080b15d-a9ca-42ae-96f3-1af4b53068bf,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2001-02-01,06:00:00.000+01:00,11:00:00.000+01:00,3,4,6,1 2 8,1,1,0,0,0,0,0,1,0,0,0,0,0,7 5 6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,300000,0,30000,0,40,22,11,3,NA,3,NA,1,1,1,1,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,85000,5000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8 7,0,0,0,0,0,0,1,1,0,0,0,0,0,2,7,21,0,0,5000,2000,1500,4,4,1,800,1 3 6,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,4,1,6,2,3,4,4,9,3,3000,lighting and phone charging,a solar microgrid,the state electricity company,12,12,100000,lighting and phone charging and fan and tv,the grid,a private power company,3,3,3000,lighting and phone charging,the grid,a group of local townspeople,9,9,3000,lighting and phone charging,a solar home system,the state electricity company,a,2,b,2,100000,off-grid supply,NA,0,66000,0,33000,0,20000,Showing polygon NI 191,yes,0.0967626362965867
North Central,Niger,NI_191,kagarko,<1hr to large city,b44140b9-b130-470f-926a-673d867804d8,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,06:30:00.000+01:00,19:00:00.000+01:00,3,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,200000,1,10000,0,34,3,24,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3 4,0,0,1,1,0,0,0,0,0,0,0,0,0,2,7,22,0,0,5000,6000,2000,2,1,1,500,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,1,3,1,1,1,1,6,12,3000,any appliances,a solar home system,the state electricity company,9,3,66000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,9,9,33000,lighting and phone charging,the grid,the state electricity company,9,9,33000,lighting and phone charging,the grid,a group of local townspeople,a,2,a,2,9000,off-grid supply,that can power all appliances,0,6000,0,3000,1,3000,Showing NI 191 on Polygon,yes,0.0967626362965867
North West,Kaduna,KD_95,kubau,Town,b7c808e0-3759-4193-8eff-b05dff35929c,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Business  enterprise,8,0,0,0,0,0,0,0,1,2017-02-01,07:00:00.000+01:00,23:00:00.000+01:00,20,25,6,2 3 4 5,0,1,1,1,1,0,0,0,0,0,0,0,0,1 6 7 8 9 10 11 12,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,250000,1,15000,0,28,5,14,3,NA,3,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,1,1,43000,6000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1 2 3 4 5 6 7 8,1,1,1,1,1,1,1,1,0,0,0,0,0,2,7,23,0,0,3000,7000,2000,1,1,1,13000,1 3 5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,1,2,1,1,1,4,9,9,3000,lighting and phone charging,a solar microgrid,the state electricity company,3,12,3000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,3,12,33000,lighting and phone charging,the grid,the state electricity company,6,12,3000,lighting and phone charging and fan and tv,the grid,the state electricity company,b,2,b,2,6000,grid supply,NA,1,9000,0,6000,NA,6000,307.2there has been a problem of electricity in the community for the past eight months.and on his electric generator from 7am to 11pm when he close his shop,yes,0.0647791679678935
North West,Kaduna,KD_95,kubau,Town,91cf9c06-44c4-4fa0-bf3f-58638f695724,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2000-02-01,06:00:00.000+01:00,11:00:00.000+01:00,6,10,6,6 7 8 9,0,0,0,0,0,1,1,1,1,0,0,0,0,1 2 3 4 5 10 11 12,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,70000,0,19000,0,34,10,14,96,Amo,3,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,1,1,37000,7000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1 2 3 4 5 6 7 8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,7,24,0,0,3000,2000,1000,1,1,1,5000,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,1,1,1,2,9,3,100000,lighting and phone charging,a solar microgrid,a group of local townspeople,12,3,33000,lighting and phone charging,the grid,a group of local townspeople,3,6,66000,lighting and phone charging and fan and tv,a solar home system,a private power company,9,3,3000,lighting and phone charging and fan and tv,the grid,the state electricity company,b,1,b,2,33000,grid supply,that can power all appliances,0,9000,0,6000,1,6000,"307.2 the community  has no national grid for details past eight months.all the enterprise has been using there individual generators which is there second  option. 307.3,307.4,307.5,307.6 all included",yes,0.0647791679678935
South South,Delta,DE_23,ethiope_east,<1hr to int. city,6b995eaf-82f8-4b1c-9870-5054397f234e,1,NA,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Food stuffs and provision,8,0,0,0,0,0,0,0,1,2018-02-01,08:00:00.000+01:00,19:00:00.000+01:00,12,10,6,3 4,0,0,1,1,0,0,0,0,0,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,70000,0,20000,1,40,3,16,10,NA,1,NA,1,3,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,5,24,0,0,4000,3500,2000,2,2,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,2,5,2,2,2,2,3,6,100000,lighting and phone charging and fan and tv,a diesel generator,a private power company,3,3,66000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,12,9,33000,lighting and phone charging,the grid,a private power company,6,9,3000,lighting and phone charging,a solar microgrid,a group of local townspeople,b,1,b,3,6000,off-grid supply,NA,0,3000,1,6000,NA,3000,NA,yes,0.0947806962172506
North West,Kano,KN_121,gezawa,Town,1c2494f4-85c6-4f53-8596-8a41f28de287,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2018-02-01,07:00:00.000+01:00,22:00:00.000+01:00,5,4,6,12 1 2 3 4 11 5,1,1,1,1,1,0,0,0,0,0,1,1,0,8 9 10,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,137000,1,50000,0,28,6,20,3,NA,3,NA,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,2,2,90000,30000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8 9 10,0,0,0,0,0,0,0,1,1,1,0,0,0,4,4,20,1,0,1000,35000,1000,4,4,0,NA,1 6 3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,2,1,3,2,3,2,3,12,6,33000,lighting and phone charging,a solar home system,a group of local townspeople,12,9,3000,any appliances,a solar home system,a group of local townspeople,3,3,3000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,9,6,100000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,b,3,a,3,66000,off-grid supply,NA,0,33000,1,66000,NA,33000,NA,yes,0.0647791679678935
South South,Delta,DE_23,ethiope_east,<1hr to int. city,bdb43770-cf07-4e48-ba46-f53ca3b21316,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,08:00:00.000+01:00,19:00:00.000+01:00,10,12,6,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,150000,0,20000,1,33,1,20,17,NA,1,NA,0,NA,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,6,5,24,1,1,5000,2500,8000,1,1,1,1000,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,5,1,1,1,1,9,6,66000,lighting and phone charging,a diesel generator,the state electricity company,3,9,3000,any appliances,a solar home system,a group of local townspeople,6,3,3000,any appliances,the grid,a private power company,12,9,100000,lighting and phone charging,the grid,a group of local townspeople,b,1,a,1,9000,off-grid supply,NA,0,6000,0,3000,0,1000,NA,yes,0.0947806962172506
South South,Delta,DE_23,ethiope_east,<1hr to int. city,f117524d-d7fc-41d8-8ebb-c5c6ae0e75da,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1 2 3 4 5 6 7,1,1,1,1,1,1,1,0,2020-02-01,08:00:00.000+01:00,19:00:00.000+01:00,10,12,6,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,100000,0,15000,0,33,2,22,5,NA,1,NA,1,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,25000,8000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,4,7,20,1,0,4000,2000,4000,2,1,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,5,2,2,2,2,6,3,66000,any appliances,a diesel generator,a group of local townspeople,6,9,33000,lighting and phone charging,a solar home system,the state electricity company,6,9,3000,any appliances,a solar microgrid,the state electricity company,12,6,100000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,b,1,a,1,3000,grid supply,that can power all appliances,0,3000,NA,3000,NA,1500,NA,yes,0.0947806962172506
South South,Delta,DE_23,ethiope_east,<1hr to int. city,3bf992ca-ee91-4dca-80fc-20d02c2a60d5,1,NA,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2019-02-01,08:00:00.000+01:00,21:00:00.000+01:00,12,10,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,10 11 12,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,100000,0,20000,0,30,2,20,10,NA,1,NA,1,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,5,95000,13000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2 3,0,1,1,0,0,0,0,0,0,0,0,0,0,4,7,20,0,0,5000,3000,2000,2,1,0,NA,1 3 4 6,1,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,5,2,2,2,2,9,12,66000,lighting and phone charging,a solar home system,a group of local townspeople,6,9,66000,any appliances,a solar home system,a group of local townspeople,3,6,33000,any appliances,a solar microgrid,the state electricity company,6,3,100000,lighting and phone charging,a diesel generator,the state electricity company,a,1,a,1,33000,grid supply,NA,0,9000,0,6000,0,3000,NA,yes,0.0947806962172506
North Central,Kogi,KO_169,adavi,<1hr to int. city,d71d899c-ecbe-4617-872b-3b582ae2c209,1,NA,9 2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2021-02-01,10:00:00.000+01:00,18:00:00.000+01:00,15,10,6,1 2 3,1,1,1,0,0,0,0,0,0,0,0,0,0,8 7 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,400000,2,20000,1,30,3,16,6,NA,13,NA,0,NA,1,2,0,1,0,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5 7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7 8 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,4,7,20,0,0,10000,8000,5000,2,2,1,1000,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,0,0,0,1,0,0,NA,2,1,1,4,1,3,1,1,2,2,12,12,3000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,6,3,66000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,3,12,33000,any appliances,the grid,the state electricity company,6,6,3000,lighting and phone charging,a diesel generator,a group of local townspeople,a,3,a,2,6000,off-grid supply,that can power all appliances,1,9000,0,6000,NA,6000,NA,yes,0.0802062472175895
